"","x"
"1033","Just saw Bahubali today Good movie to watch Highly recommended Thanksfor making us proud"
"1034","VyaktiVisheshBahubali VsWatch gtgt"
"1035","Bahubali is a real masterpiece notMasterpieceBajrangiBhaijaan"
"1036","After success of Bahubali need to state Big Bang of Telugu industry Cinema Choopistha mava tollywood"
"1037","Basically Katappa did a Jon snow ending to Bahubali"
"1038","Why twitter aggressively promotingBajrangiBhaijaan while Bahubali is nowhere even though with continuous tweets"
"1039","BajarangiBhaijanVsBahubali Salman Khans movie earns Rs 64 crores Bahubali Rs 300 crore"
"1040","Bahubali 9 Days Kerala Gross 615 CrNow Becomes The Most Collected Dubbed Movie In KeralaWill Chase The 10 Cr Mark In Kerala"
"1041","Just saw bahubali just awesome I never expected this type of movie in tfi thanks to rajamouali for this epic movie"
"1042","Bahubali was an absolute delight to watch especially the second half Now waiting for the Pa 2 to hit screens in 2016"
"1043","Bahubali is still going housefull in MumbaiCouldnt watch Bahubalistorm"
"1044","Witnessed a new era in Indian Cinema A Visual Feast Bahubalimade every Indian Proud Watch Bahubali"
"1045","Watched TroyNoNever Mind Watch Bahubali P"
"1046","Finally India is divided in to teo categories of people1 Those who appreciate amp watch Bahubali 2 Those who are still in BBRaees mode"
"1047","Bahubali is a visual extravaganzaOne of the best films made in India till now"
"1048","Done with Bahubaligreat visuals"
"1049","What the fudge guys youre either endorsing bahubali or BajrangiBhaijaan Seriously No country for me"
"1050","Loved to see a great great Indian Movie Bahubali after ages Kudos"
"1051","Was highly disturbed by this scene when I watched Bahubali Glad somebody wrote about it Thank you"
"1052","CONGOS bahubali grand success pay bro"
"1053","Tried trickin mom into watchin Bahubali sayin its the story of a Bahu whose saas is tryin to chadau her BaliSly ol woman didnt fall for it"
"1054","So so mighty impressed seeing Bahubali So so proud of youHats off This is Indias answer to avatar"
"1055","Kudos toPrabhas RamyaKrishnanand others for such an epic movie Bahubali"
"1056","Without Prabhas this project wouldnt have happened Báhubalirajamouli garu"
"1057","Watching Bahubali Such grandiose scenes and stunts So many inspiredfrom other movies Deja Vu all the way Quite dramatically epic"
"1058","SurveyPlease paicipate in Survey and Tell Us in Comment which is Best Movie Bahubali or BajarangiBhaijaan"
"1059","bahubaliIS A KARAN JOHAR PRODUCTION is it"
"1060","Bahubalihas graphic violencebeheading impalement et al How on eah did it get a UA rating 5year olds were watching it"
"1061","Good compilation of scenes copied by SS Rajamouli Bahubali"
"1062","Watched Bahubali in Hindi lil unfamiliar names but excellent filmDont bother LeftLibtrds hypocrisy"
"1063","And that stupid aicle ofis a critic of Bahubali is itself dumbest argument ever"
"1064","Morning Bahubali"
"1065","Watched Bahubali what a grand presentations what an epic movieIndian cinema has definitely advanced towards better"
"1066","So trueBahubali is what it is becausewas somehow insulated from the mediocrity of Bollywood"
"1067","As much as dubbing aist Rajesh did well Prabhas sounds better with his own voice Ah Bahubali Secondviewreview"
"1068","All the big screens given to Bahubali and Papanasam is strongAnd Maari Vadais at peak"
"1069","Indeead its a new beginning for Indian cinema baahubali bahubali"
"1070","Bahubali 300 cr in 9 days Enlighten if any others have done this before"
"1071","Just coming out of tht moviepls tell me which pa f Bahubali romanticises sexual violenceKuch bhi for PR sake"
"1072","It will take atleast 10 years for an Indian movie to break Bahubalis records BahubaliHits300cr"
"1073","What did Anna Vetticad review on Bahubali"
"1074","It is nice to see a south indian movie like bahubali is bringing so many audiance from all over the nation Well deserved applause"
"1075","What a performance by ramcharn in BahubaliSorry kattappa"
"1076","So who is being religious why this ove and cove bigotry against Bahubali just because it is Hinduism based"
"1077","The Rape of Avanthika Bahubali Interesting piece by"
"1078","so isproducer or actor in Bahubali LOL"
"1079","Such grandeur and opulence has never been etched on Indian cinemas magnum opus is at par with LOTR Do watch itBahubali"
"1080","Should have heeded to ur adviceHangover of Bahubali was so over bearing tht I couldnt really enjoy d next film which was good"
"1081","BahubaliHits300cr BahubaliHits300cr BahubaliHits300cr tweet and trend the tag if you loved this movie Bahubali Baahubali"
"1082","Bahubali karnataka 9 daysnet 379 cr state record All Time Industry HiT"
"1083","Ppl claiming bahubali is liked by girls either you never understood girls or worst you never met a real one P"
"1084","Any INDIAN who respects Shri Ravi Shankar ji would never see Movie Bahubali BajrangiBhaijaan after seing this"
"1085","Hope u hv watched Bahubali"
"1086","Great Song ShivTandav Bahubali"
"1087","Bahubali is a Triump of imagination over storiesmagnanimous stuffterrific casting Left me unanswered craving for more"
"1088","Bahubali2nd Sat425Cr Total Collection5427Cr touched 300Cr worldwide Awesome creation in Indian Cinema"
"1089","After all Movie Bhi Vaisi hai BossBajrangiBhaijaan Can Never do tht Bahubali "
"1090","Bahubali epic BajrangiBhaijaan emotional enteainer back to back weekends"
"1091","Bahubali is an awesome moviesuperbly craftedtoooo creativeg wrk bya director hats off"
"1092","bahubali mesmarised me amp now it is training me how totweetreRweetcounterTweettreatreTreatbahubaliHits300crbahubalistorm"
"1093","sir rape subject is used to tarnish and defame Bahubali just out of jealous Classic example gtgt"
"1094","its BlockbusterweekB 4 Bahubali B 4 BajrangiBhaijaann B 4 bollywood Both movies r rocking n makingIndianCinema so Proud"
"1095","Bahubali Great"
"1096","mam one example here how rape subject is used to tarnish Bahubali out of jealous"
"1097","bahubali prabhas ramyakrishnan tammana anushka sathyaraj nasser rana rajamouly dop peter sabu bgm vfx editor castampcrew"
"1098","BahubaliD Secular people who rushed for PK Did they Rush forBAHUBALI"
"1099","thanks for showing what an aiste like sathyaraj sir is capable of Wish other creators give him enough oppounity Bahubali"
"1100","Didnt quite like Tammana Bhatia in Bahubali Maybe because I dont like her otherwise as well"
"1101","If u ridicule Islam this way in a Mmajority country then youd be hanged or beheaded by the govt or ppl will kill uBahubali"
"1102","this crap thrash piece on rape is nothing to do with issueJust to defame Bahubali"
"1103","This happens when yourur mind rests in gutter BahubaliI know she is mad but this much"
"1104","yaar Bahubali jaise film karo na koi that does not even need a Pak angle for u"
"1105","Aamir tried his best 2 lift BB film whl ignoring Bahubali royallyDitto SRKtalking abt BB amp biryaniBut Sallu is golden hea"
"1106","Finally BAHUBALI THE BEGININGReached 300Cr in 10Days"
"1107","watching bahubali today Great movie from a great directorS S Rajmouli kudos to him to make a such a"
"1108","was the Church sermon today on how bad Bahubali is Why are Christian bigots out of their Church holes"
"1109","Just watched Bahubali Have to say that Indian cinema has never seen anything like this before The scale the grandeurits enthralling"
"1110","Have u watched BahubaliDid it release in PakistanA must watchBest movie of Bollywood so farBollywoods300"
"1111","Thank u Dearsir for Breaking the Barriers of Languages Bahubali"
"1112","By the end of today Bahubali will bcom the 4th highest grosser of 2015 behind Kaanchana I and YA in our Centrewill beat YA in few days"
"1113","In this week Delhiet watch I love NY instand of BajrangiBhaijaan amp Bahubali bz they Voting for AAP when they have BJP amp NOTA"
"1114","as u said itfinally watchedbahubali"
"1115","BahubaliHits300cr my holiday stas with reading bahubali tweets and so on on on amp ends with the same"
"1116","Still at the moviewhich is spectacular but so very disappointed Avantika deserved better Bahubali"
"1117","This monsoon session will ceainly break all recordswill beat PK Bahubali BajrangiBhaijaan hands down"
"1118","I posted 24 photos on Facebook in the album Bahubali"
"1119","Finally watched Bahubali Awesome Movie"
"1120","Dont get over excited Bahubali has great VFX now wait for a real movie which has a great story and great acting with VFX"
"1121","they should have said प्रसन्न instead of खुष in that dialogue I would say But good Bahubali"
"1122","Whats going on Every thing looks amazing recently Bahubali BajrangiBhaijaan BajiraoMastani Brothers"
"1123","Baahubali has collected 57 million in The United States wbotwit Bahubali"
"1124","i dont like cheap action as in Dabangbut this Bahubali is diff level total wonderful movieदेवताओं की लड़ाई है he is god not sm hero"
"1125","Bahubali 9 Days All Versions WorldWide Share 160CrFull Details"
"1126","people who are jealous about it can always keep finding negatives in Bahubali Stop comparing"
"1127","Bahubali amazing picturisation you do give hope ever to bring tamil author sandilyan stories to screen"
"1128","Weekend ends with Baahubali Tamil versionBaahubaliStormThe mad rush continues Bahubali"
"1129","What a war sequence Tollywood well done Absolutely magnificent Bahubali"
"1130","dubbed Hindi version Week 2 is wonderful Fri 325 cr Sat 425 cr Total  5427 cr Bahubali"
"1131","Watched Bahubali Awesome movie Correct me if I am wrong but isnt this the first of its kind in India"
"1132","So we have to wait till 2016 Bahubali"
"1133","Congrajulations bahubali reaches 300 crores clubfirst film to reach in south india"
"1134","Is there a crusade going on to discredit Bahubali for breaking records amp sidelining bollywood No guesses on whose money bollywood runs"
"1135","We watch a movie like twice a yearwatched Bahubali on Saturdayoing again on Wednesday for BahubaliWant to watch a few more times"
"1136","Bahubali Hindi2nd Saturday BoxOffice Collectionsbollywood"
"1137","Great weekend watching Bahubali with my friends"
"1138","finally got the answer for the query of the year DBahubali"
"1139","Now watching Bahubali"
"1140","Bahubali Breaks d Robot also First south Indian film to enters 300 cr club n 9 days"
"1141","Bollywoods egoistic hegemonic supremacy in Indian film Industry is shattered thanks to Bahubali"
"1142","lolz Epicgtgtgt EpicBajiraoMastaniTeaser Then Bahubali is SuperDuperEpic"
"1143","watched Bahubalione of my favourite historicalmovie after Veer amp 300"
"1144","Yes Bahubali is best in terms of VFX and Production value not in terms of acting or story"
"1145","Pre BahubaliBollywoodBollywoodAfter Bahubali Bollywood Lollywood"
"1146","Stop retweeting and Sta tweeting with the hashtag BahubaliHits300cr Bahubali Baahubali"
"1147","WatchingBahubali 6th time"
"1148","Even in Hyderabad I seen same response towhich they give to Bahubali"
"1149","Watched Bahubaliwow what a movie takes Indian cinema to a different height such scale grandeur never seen before"
"1150","mam how do u compare bahubali and puli"
"1151","Havent seen the movie Bahubali but im sureposting these tweets just to get some cheap publicity"
"1152","At Theater Fame tapadia for Bahubali withEnjoying"
"1153","Our old value systems culture heritage valourengineering Statecraftmilitary mightprotocolTake a bow Bahubali"
"1154","mam how differ puli from bahubalipls rly"
"1155","even i watched it twiceand can still watch it p Bahubali"
"1156","Bahubali is massive A world class movie Always loved South Cinema but this one is No1"
"1157","Perfectly Put Sachin Bahubali IndianCricket"
"1158","Her life her choiceas per Deepika PadukoneBahubaliHits300cr Bahubali"
"1159","I quite agree with you that it was the weakest link of the movie yet classy enough to be a pa of Bahubali"
"1160","mam how do u compare bahubali and pulipls rly me mam"
"1161","mam how do u compare bahubali and pulipls rly me mam"
"1162","Was completely floored by Bahubali What an awesome movie Gr8 effects Gr8 Story n Perfect Execution World class cinema delivered by India"
"1163","So Far 2nd Weekend Bahubali Movie 10th Day Box Office Collection Kamaivia"
"1164","Bahubali is a magnificent movie but it shows a lady taking more interest in makeup n beauty is better than a brave one"
"1165","hehehe ok  but what u think abt Prabhash in Bahubali "
"1166","The EpicBajiraoMastaniTeaser looks good But after watching the Awesome Bahubali I doubt any other period movie wud b as impressive"
"1167","will never give you the all India collections of Bahubali Wanna know why Because Bahubalihits300cr"
"1168","Bahubali same old story but amazing direction speed and something different"
"1169","Meanwhile if you people are done with Bahubaliand BajrangiBhaijaan the Louis Berger is waiting for you "
"1170","Hope will watch Bahubali 2 the conclusion in tamizh watching Bahubali Hindi Movi"
"1171","Now to Bahubali"
"1172","Bahubali continues it shows with a bang where some where the situation is that"
"1173","Bahubali orare about Movies and shequite about real things that happen in Churches"
"1174","Dearjiactually Shiva lifted the Shivling not BahubaliBahubaliStorm"
"1175","Wowsee this s Bahubali to have an international edition soon"
"1176","ThankslotKeep them comingBahubaliHits300cr Bahubali"
"1177","if youre going to watch Bahubali kindly enter the audi after the first half"
"1178","Sunday Boxoffice12 Bahubali Ruling Kerala Boxoffice Heavy Rush In All CentresKL10Patthu Strong In Malabar And Abv Avg In Other Areas"
"1179","Epic movie by rajamouli raised the indian standard of VFX and great story a must watch film Bahubalithe beginning"
"1180","Bahubali enters 300 crore club What an achievement to unfold by Telugu cinema"
"1181","omg sorry i didnt see the name thought Bahubali lol"
"1182","We are trying to trend BahubaliHits300cr One endorsement from you would help alot Bahubali Baahubali"
"1183","Calendargirlsthe Females Bahubali of Box office"
"1184","More than SecularLiberals Bahubalis success is a lesson for wannabe Liberal Hindu Nationalists Desh pines for ove Hindu Nationalism"
"1185","Bahubali is this generations Raj Tilak amp Magadheera absolute epicI have never watched a movie where the back story is in 2 pas"
"1186","bahubali we proud to say it is great movie of Indian cinemas"
"1187","Bahubali has been appreciated by mostthat includes criticsifdoesnt agreelet her be entitled to her opinionMove onno"
"1188","Will Bahubali be nominated for an Oscar Bahubali ssrajamouliBahubalistorm"
"1189","AmirKhanteam PK should understand that its possible to make a highest grosser without disrespecting Bhagwan SHIVgood work team Bahubali"
"1190","Bahubali features one of the longest scenes of romanticised symbolic violation ever seen on screen"
"1191","Im trending BahubaliHits300cr Are you with meBaahubali Bahubali"
"1192","Finally watched BahubaliIts a master piece of Indian Cinema"
"1193","May be bahubali screens are very less when compared to BajrangiBhaijaan in Mumbai"
"1194","Bahubali broke Guinness amp Limca Book of World Records with a poster of 50000 sq ft"
"1195","Bahubali An amazing movie Cant wait for the second pa"
"1196","Photoshop level Bahubali "
"1197","MOST SHOCKING BRIDGE IN FLOOD DISASTER 2015 NEW Cristiano RonaldoLouisAppreciationDayBahubali"
"1198","Bahubali What an awesome and magical movie Really a benchmark for Indian cinema"
"1199","bahubali s grandiosity is breathtaking i am in awe But its blatant sexism made me cringe in my seat"
"1200","Just watched BahubaliWhat an incredible filmBahubali like films are also made in IndiaCredits to director amp HATSOFF"
"1201","are you talking about shivagami Then watch bahubali again If about avanthika change ur perception"
"1202","Extraordinary filmmaking by Rajamouli Action scenes are executed intelligently are on par with Lord of the rings and fury roadBahubali"
"1203","nevsasaurehpTollywood is soo amazing now Indian GameofThronesBahubali Watch here"
"1204","hahahahaha Bahubaligot double the numbers than BajrangiBhaijaan"
"1205","Well Bahubali2 is a known story He will defeat Sarena Williams at Wimbledon Bahubali"
"1206","With so many movies releasing this month I D K which is whichBahubaliBrothersBajrangiBhaijan"
"1207","So many people have applauded BajrangiBhaijaan that the first thing tomorrow morning I would be going to watch Bahubali"
"1208","Tollywood is soo amazing now Indian GameofThronesBahubali Watch here"
"1209","Tollywood is soo amazing now Indian GameofThronesBahubali"
"1210","Bahubali why its so expensive"
"1211","I wish i can unseen Bahubali"
"1212","bahubali is indeed a good enteainment First half is slow Second half is awesome"
"1213","I bow to ssrajamauli 4 creating a master peicetaking indian cinema 2 a new levelits a priviledge 2 watch sch a movieBahubali"
"1214","Bahubalino he is not obliged but please spare us from lies if they are lies"
"1215","ho jaye next movie me har har mahadev bahubali BajrangiBhaijaan AamirKhanpig"
"1216","Baahubali is currently the 11th highest grossing Indian film and 11th Indian film to gross over 3 billion wbotwit Bahubali"
"1217","Baahubali is currently the highest grossing Indian film of 2015 and became the highest grossing Telugu of all time wbotwit Bahubali"
"1218","Watched Bahubali today Fantastic movie Great competition to Hollywood monopoly on technology Bravo"
"1219","V def cannot afford tochillThis is how our movies romanticises the idea of rapeBahubali"
"1220","You may be sickSome kind of mental disorder or Jobless Bahubali"
"1221","Bahubali a movie India should be Proud of A Boss Movie MustWatch"
"1222","Baahubali has grossed 303 billion 48 million worldwide against its shared budget with its sequel 25 billion 40 million Bahubali"
"1223","Bahubali Superstar Thala Version Retweet if u agree"
"1224","great to see in BahubaliHeared u have main role inBahubali2 excited to seekannadiga"
"1225","This is what happened to my Frnd watched Bahubalialmost diednot woh my money"
"1226","Bahubali pa 2 teaser released BajrangiBhaijaan BaahubaliStorm BigBrother"
"1227","Finally watched the epic called Bahubali What a movie Now someone should dare a magnificent Mahabharata series as well"
"1228","Bahubali Hindi2nd Saturday Box Office Collections"
"1229","WhydidKatappaKillBahubali should be trending on Twitter SURPRISED noone is talking about it Bahubalistorm Bahubali"
"1230","Bahubali ceainly had"
"1231","He is crying because a midget like him can never play Prabhas role and bahubali broke all his previous fake records"
"1232","Show time half group maari and others half bahubali havefun"
"1233","Just saw Bahubali poster n said waaah what a movie i came across last weekend I could feel the royalty again"
"1234","Interesting Facts about Bahubali From Marriage Postponed to Inventing a New LanguageBahubalistorm"
"1235","is Bahubali released in Pakistan"
"1236","Bahubali Superstar IllayaThalapathy versionIf u agree Retweet"
"1237","i sincerely feel bahubali shud have been cut down to 3hrs and made a single movie rather than a 2 pa"
"1238","Those sniffing out subtextual meaningsmessages in Bahubali remind me of this graffiti commonly seen till 1970s"
"1239","The Emblem of MahizhmathiBahubali Bahubalistorm bahubali Baahubali BaahubaliStormThank You"
"1240","More n moreBahubali"
"1241","Bahubali is the great movie I request you to remake Mahabharat hindi version I would like to see when you make it"
"1242","what fascinate me about bahubali is nt the vfx or the budget bt the wayhas conceived and visualized it in his mind"
"1243","Ausum weekBarely gt ovr stunng Bahubali wen SanjayBhansali showd me BajiraoMastani teasrMuv ovr Mughal e Azam"
"1244","extremly superbb today Bahubali is almost full theaters in Vadodara on 2nd week n BajrangiBhaijaan tickets easily available on 1st sunday"
"1245","It seems bahubali shooting was done in akshardham mandir in DelhiwatchingBahubali"
"1246","Like almost every other film maker SS Rajamouli too degrades woman character in his epic movie Bahubali"
"1247","Yaar film has made over 300 Crores in 9 days loved by all 1 critic didnt like it big deal Ignore karo Bahubali"
"1248","Best Indian movie till date is Bahubali showing the real pride n honour of India instead of fake humanitarianism Bahubalistorm"
"1249","Watched Bahubali still amazed awesome movie just loved it Hats off sir"
"1250","Dubbed Hindi version can easily be double digits from 4 cr on day one for Bahubali 1"
"1251","Uthappa is son of Kattapa Bahubali"
"1252","shameon adarshReviewer could nt find tym 2 write tht why in Delhi a lady molested an auto driver bt jst saw rapeofavantika in Bahubali"
"1253","Was totally lost in the filmamazing amazing Bahubali"
"1254","Salute to your MasterpieceAmarendra Bahubali Vijaybawa"
"1255","is right Bahubali is an absolute enteainer not some meaningless a movies that put u on sleep"
"1256","ive seen war sequences in many a movies and serials bt nvr the kind of detailing in bahubali"
"1257","Emblem of Mahizhmathi inspired by Bahubali thanks to"
"1258","What will be the opening day collection of Bahubali 270 cr"
"1259","More Screens needed for Bahubali Hindi version Bahubali"
"1260","Amazing bahubali bahubalistorm Indian film industry has reached a new height"
"1261","We SALUTE You for Bahubali Im watching it for the 9th round tomorrow Splendid 2 hours amp 40 minutes of my life again"
"1262","As no tickets available for today in Vadodara I wi watch Bahubali on tomorrow"
"1263","Did u watch Bahubali"
"1264","Why did it take a Movie Like Bahubali to make Presstitutes understand the plight of an Indian Womanjustasking"
"1265","BahubaliIncredible movie1st time I have seen any Indian movie which is better than Hollywood Heads off to Bahubali cast n crew"
"1266","Friends planning forMovie letz C which 1 dey want to go Tonight BajrangiBhaijaan or Bahubali"
"1267","Bahubalidefinitely woh a watch absolutely to stunning"
"1268","Bahubali Dhoni Version If u agree Retweet"
"1269","Wooing scene in Bahubali cringewohyBut to call it rape is cheap sensationalism Trivialises a traumatic act of degradationviolence 12"
"1270","Finally booked ticket for BajrangiBhaijaan 17 ticketsSab Bahubali Bhaijaan ko dekhenge aaj"
"1271","BahuBali was the one who conveed Indians to Hinduism My 2 Paisewala HistoryThe RealIndian History"
"1272","Bahubali enters 300 crore Club"
"1273","I am surehas already seen 2nd pa ofBahubali coz there isnt any in rape scene in 1st pa"
"1274","Watched Bahubali movie The movie like never seen before Wonderful creation Great direction Fabulous acting"
"1275","Bahubali Pa2 Story leakedScene by Scene StoryTollywood gossipsV6 Newsvideo bahubali pa story"
"1276","Bahubali not from Bollywood "
"1277","KATTAPPA killed Bahubali coz bahubali was a witness of vyapam amp against Asharam"
"1278","Guys when is the Movie Bahubali coming to your theatres Any dates fixed"
"1279","Watched a south movie in theatre for the first time Bahubalireally good movieWatched it with my brother"
"1280","My bro just called me nw n said Im gonna be late 2nt coz im nt getting easily tickets I asked 4 which BB movie he said no ts Bahubali"
"1281","Bahubali features one of longest scenes of eroticized sexualviolence in Indian cinema"
"1282","my prediction only telugu version collections of Bahubali will be double AD"
"1283","OMG this Bahubali needs to be watched"
"1284","loved your review of Bahubali This review of a Pankaj Udhaas ghazal was done in the same spirit"
"1285","Why are folks looking for deep meaningsmessagesmotives in BahubaliI mean this isnt a Godard film or a NFDCFTII taxfunded a flick"
"1286","Shooting in multiple languages could have helped Bahubali earn more"
"1287","EidInQatar yesterday I watched BajrangiBhaijaan Now watching Bahubali EidMubarak EidCelebration"
"1288","Before watchingbahubali bahubaliAfter watchingrajamouli rajamouli"
"1289","Such a screwed state that i found myself in Just when i thought of enjoying Bahubalii get a seat close to a kissing couple fml"
"1290","Why libtards hate d success of Bahubali1No Khan in it 2No AllahAliMaula song3Its totally Hindu4no glorification of minoriies"
"1291","Nation wants to know whether Arnab has seen BahubaliIf not Modi should resign If not Modi Lord Shiva shud resign"
"1292","Bahubali is nt abt Avantika conq it ws jst scene didnt even remeb itWht stys wth u is its sp effect larger thn life canvas"
"1293","have u watched Bahubali"
"1294","Finally watched Bahubaliunderestimatedwar scenes worst ga teestadu anukunna but he proved me wrong"
"1295","Why libtards hate d success of Bahubali1No Khan in it 2No AllahAliMaula song3Its totally Hindu4no glorification of minoriies"
"1296","ITS HILERIOUS Bahubali BajrangiBhaijaan "
"1297","bahubali truly MAKE IN INDIA"
"1298","BahubaliThanks god i got chance to watch movie in first day"
"1299"," Bahubali Boycott BajrangiBhaijaan "
"1300","fantastic performance in Bahubali the bollywood fans loved you in Baby and Now this Very India centered movies both"
"1301","BajrangiBhaijaan rejected by Sickulars 63 Crore only Bahubali crosses 300 crore"
"1302","The rape of Avanthika in Bahubali"
"1303","Bahubali on YouTube"
"1304","Did u see Bahubali"
"1305","Good choice But first watch Bahubali"
"1306","want to watch insideout InsidiousChapter3 BajrangiBhaijaan and bahubali badly"
"1307","I had no interest in watching Bahubali but with libtards panning it I will definitely go watch it"
"1308","Time for the back story Bahubali keeps getting better thoroughly enjoying the movie"
"1309","Amazing movie Bahubali"
"1310","Why trade analyst numbers are being passed off as real collections Y no statemnt from Mr SobhuBahubali"
"1311","We know adarshliberalNow with Bahubali we have discovered the next categoryAdarshReviewer"
"1312","was eating while all muslim friends were doing rozafasting So feeling indigestion Wait 4 a doctor nt 4 bahubali 2"
"1313","just saw BahubaliRana you were just rock solid and wonderful performance waiting for the conclusionBallaRocks"
"1314","Bahubali sema movie prabasrana anushka ramyamagnificnt movie wanna watch again"
"1315","Everyday needsEveryday happinessBahubali TheEverydayStore"
"1316","only those whove been in a beautiful relationship can you understand the beauty of relationships in Bahubali"
"1317","Bahubali is Fantabulous Osum songs music acting sets Had fun wtchin it n eagerly w8ing 4 d conclusion"
"1318","Heres 1 of the more polite tweets a reminder of how vile amp foul such people can get RapeOfAvanthika Bahubali"
"1319","Dearyou have created a Gem This is real Indian Cinema the world should know about Bahubali Bahubalistorm long way to go"
"1320","YesterdayBahubaliTodayMasterpieceBajrangiBhaijaan Hats offK V Vijayendra Prasad Writer of Baahubali amp BajrangiBhaijaan"
"1321","BahuBali would be watched todaysubtitles should come handy MegaMovies breaks the language barrier last Non EngHindi was Enthiran"
"1322","Do we look alike Brothers Bhaijaan Bahubali bnw vscocam"
"1323","Bahubali has set really high standards for war scenes in India BajiraoMastani based on trailer pales in comparision"
"1324","Box Office Collection Baahubali Beats Endhiran Lifetime Record in 9 Daysbahubali Rajinikanth Rajini Rajamouli"
"1325","The excellencyBahubali"
"1326","Topic Close BahubaliMasterpieceBajrangiBhaijaan"
"1327","1 and now I watch it before BajrangiBhaijaanBahubali for Oscar"
"1328","Ms Vetticad instead of Bahubali amp Rape of Avantikaperhaps u can try Rape of MaryKareena Kapoor item song D"
"1329","Bigger Bahubali is The New AP Capital More Hype Less Work"
"1330","Kailash Khers post on Bahubali"
"1331","Another Gem by Sir Satish AcharyaBahubali Rahubali"
"1332","Cngs sir for entering 300 club Still long way to go Bst of luckBahubali"
"1333","Most Popular Wikipedia Aicles of the Week July 5 to 11 2015Bahubali is on 6th Position"
"1334","so lets all instead sing ya ali or maulaaaaa amp feel secular w Muslim narrativeparanoid twits D Bahubali"
"1335","Bahubalistorm saw Bahubali wow what a moviewhat a movie its an experience one must take"
"1336","I refuse to say Im a south Indian how can I be antisouth Im a journalist Critique my work not me RapeOfAvanthika Bahubali 44"
"1337","Even more interested in Bahubali now tat its pissing off AdarshLiberals Gotta watch it this week for sure"
"1338","See this in Bahubali 2"
"1339","heypoor Prabhas was also exploitedHe had to show his body half naked amp she drugged him after song So shut up Bahubali D"
"1340","Why is Bahubali pissing of AdarshLiberals"
"1341","If trolls did homewk theyd know I writespeak constantly on misogyny in ALL areas not just 1 Telugu film RapeOfAvanthika Bahubali 34"
"1342","There is nothing there in Bahubali to make it for 3 years"
"1343","Which was given more Publicity Bahubali or GodavariPushkaralu"
"1344","Especially the use of Sanskrit in war commands amp songs was BRILLIANT What I said on my FB Bahubali"
"1345","Why libtards hate d success of Bahubali1No Khan in it 2No AllahAliMaula song3Its totally Hindu4no glorification of minoriies"
"1346","What was the source for 200 crores spent in making Bahubali Dont know"
"1347","A real Indian BahuBali gtgt"
"1348","Why did they tell that they have spent 200 crores for Bahubali Only to evade Income Tax for 300 crore collections "
"1349","Shows of Bahubali get postponed due to BajrangiBhaijaan"
"1350","Bahubali 300 cr and counting keep it up go past 500 cr"
"1351","Of all the responses to RapeOfAvanthika I didnt expect shes antiHindu amp u dont criticise such scenes by Bollywood Bahubali 14"
"1352","Which 1 is bestRetweet for BahubaliFav for BajrangiBhaijaan Quote for both movies"
"1353","Success of bahubali is shaking some sections in noh who are comfoable in spreading lies and you know what i mean"
"1354","The great writer who is creating sensation with his other story in Indian movie Bahubali All the best"
"1355","Who do u think will earn more BajrangiBhaijaan or BahubaliMy vote for BajrangiBhaijaan"
"1356","I am just waiting to know How much income tax isPaying for Bahubali profits "
"1357","Cant understand sat shld be 50 cr whn almost evry theatre is housefull Bahubali earned 50cr only frm south"
"1358","Bahubali Collected 300 Cr from 9 Days Industryhit"
"1359","Badly missing Anushka flashback poions  Bahubali 2016 Varai wait pannanuma "
"1360","Dear CMs Bahubali should be tax free so that every indian can enjoy this pride moment"
"1361","Bahubali Amazing production likes of BenHurLOTR etc Superb presentation crisp editingfantasy visuals and great musicHatsOff Team BB"
"1362","bahubali wow What a visual brilliance And a good film too"
"1363","Oh JoyMy little girl watching Bahubali says This is just like AmarChitraKathaJOYUnclePai be smiling up there"
"1364","Booked the ticket for Bahubali Going to mall after long time movie"
"1365"," Bahubali Doc indeed"
"1366","Ws offline for a few hrsReturned to a tsunami of suppo amp attacks on my RapeOfAvanthika column FYI I cant read Telugu tweets Bahubali"
"1367","It is very proud thing that movie like Bahubali is made in India It shows that we arent behind anyone"
"1368","Creaze At Peaks Bahubali"
"1369","Bahubali lastticket for the show for me DPAN Cinemas"
"1370","Bahubali is awsom movie Prabhas looking killer"
"1371","Second Saturday all the theaters jam packed in Navi Mumbai Unfuckin believable Bahubali Bahubalistorm BajrangiBhaijaan swept away"
"1372","GutterJournalism bygtsays Bahubali is dangerous coz f its references to mythology"
"1373","S Rajamouli talks about his successive successes with THE WEEK Bahubali Eega cinema"
"1374","The way tobeat 300 in the Indian way bahubali"
"1375","Sir just become mad of song by you ampin Bahubali"
"1376","1130am show was only Rs120 at Phoenix PVR ya Bahubali"
"1377","Bahubali Prabhas carrying Shiva Linga such idolatry is d Blockbuster amg all posters This is huing d Secularists amp its showing"
"1378","Vilas Then go back n check ur 1st tweet Its nt about bahubali its about southindia Never do it again"
"1379","Baahubali Bahubali enters 300 Crore club"
"1380","LACK OF STORY DEAD SCREENPLAY amp SILLY ANTICS DEFIES IT ENDING LEFT ME GASPING FOR MORE 2016 LOOKS TOO FAR22 Bahubali"
"1381","Bahubali creating history"
"1382","Just Finished vth Bahubali Mrng ShowIts F ANTASTICGOOSEBUMPS Hatsoff to s VisionBumper IHBahubalistorm"
"1383","Bahubali  must watch thing in Indian cinema 810Whats the crapy Bollywood doing"
